NUmber_of_parameters= 3010 
 epoch 0, accuracy 0.5564166666666667 
epoch 1, accuracy 0.7303333333333333 
epoch 2, accuracy 0.7981666666666667 
epoch 3, accuracy 0.8285 
epoch 4, accuracy 0.8463333333333334 
epoch 5, accuracy 0.8576666666666667 
epoch 6, accuracy 0.86475 
epoch 7, accuracy 0.8691666666666666 
epoch 8, accuracy 0.8753333333333333 
epoch 9, accuracy 0.8776666666666667 
epoch 10, accuracy 0.88025 
epoch 11, accuracy 0.8820833333333333 
epoch 12, accuracy 0.8850833333333333 
epoch 13, accuracy 0.8875 
epoch 14, accuracy 0.88975 
epoch 15, accuracy 0.8914166666666666 
epoch 16, accuracy 0.8929166666666667 
epoch 17, accuracy 0.8948333333333334 
epoch 18, accuracy 0.8968333333333334 
epoch 19, accuracy 0.89825 
epoch 20, accuracy 0.9003333333333333 
epoch 21, accuracy 0.9015833333333333 
epoch 22, accuracy 0.9026666666666666 
epoch 23, accuracy 0.9036666666666666 
epoch 24, accuracy 0.90475 
epoch 25, accuracy 0.9061666666666667 
epoch 26, accuracy 0.9073333333333333 
epoch 27, accuracy 0.9081666666666667 
epoch 28, accuracy 0.9096666666666666 
epoch 29, accuracy 0.9106666666666666 
epoch 30, accuracy 0.9115 
epoch 31, accuracy 0.9120833333333334 
epoch 32, accuracy 0.9131666666666667 
epoch 33, accuracy 0.9145 
epoch 34, accuracy 0.91525 
epoch 35, accuracy 0.9159166666666667 
epoch 36, accuracy 0.9168333333333333 
epoch 37, accuracy 0.91775 
epoch 38, accuracy 0.9184166666666667 
epoch 39, accuracy 0.9189166666666667 
epoch 40, accuracy 0.9201666666666667 
epoch 41, accuracy 0.92075 
epoch 42, accuracy 0.921 
epoch 43, accuracy 0.9215 
epoch 44, accuracy 0.9216666666666666 
epoch 45, accuracy 0.9225 
epoch 46, accuracy 0.9230833333333334 
epoch 47, accuracy 0.9239166666666667 
epoch 48, accuracy 0.92425 
epoch 49, accuracy 0.9245833333333333 
epoch 50, accuracy 0.9245833333333333 
epoch 51, accuracy 0.9253333333333333 
epoch 52, accuracy 0.9258333333333333 
epoch 53, accuracy 0.9265833333333333 
epoch 54, accuracy 0.927 
epoch 55, accuracy 0.928 
epoch 56, accuracy 0.92875 
epoch 57, accuracy 0.929 
epoch 58, accuracy 0.9295 
epoch 59, accuracy 0.9294166666666667 
epoch 60, accuracy 0.9299166666666666 
epoch 61, accuracy 0.9305 
epoch 62, accuracy 0.9306666666666666 
epoch 63, accuracy 0.93075 
epoch 64, accuracy 0.93125 
epoch 65, accuracy 0.9315833333333333 
epoch 66, accuracy 0.9319166666666666 
epoch 67, accuracy 0.93225 
epoch 68, accuracy 0.9325 
epoch 69, accuracy 0.933 
epoch 70, accuracy 0.9335 
epoch 71, accuracy 0.93375 
epoch 72, accuracy 0.9338333333333333 
epoch 73, accuracy 0.9340833333333334 
epoch 74, accuracy 0.9341666666666667 
epoch 75, accuracy 0.93475 
epoch 76, accuracy 0.9351666666666667 
epoch 77, accuracy 0.9356666666666666 
epoch 78, accuracy 0.93625 
epoch 79, accuracy 0.9365833333333333 
epoch 80, accuracy 0.93675 
epoch 81, accuracy 0.9369166666666666 
epoch 82, accuracy 0.9373333333333334 
epoch 83, accuracy 0.93775 
epoch 84, accuracy 0.9380833333333334 
epoch 85, accuracy 0.9381666666666667 
epoch 86, accuracy 0.9386666666666666 
epoch 87, accuracy 0.93875 
epoch 88, accuracy 0.9389166666666666 
epoch 89, accuracy 0.9394166666666667 
epoch 90, accuracy 0.9398333333333333 
epoch 91, accuracy 0.94 
epoch 92, accuracy 0.9405833333333333 
epoch 93, accuracy 0.9406666666666667 
epoch 94, accuracy 0.94075 
