NUmber_of_parameters= 3510 
 NUmber_of_parameters= 3510 
 epoch 0, accuracy 0.6686666666666666 
epoch 1, accuracy 0.7635833333333333 
epoch 2, accuracy 0.7966666666666666 
epoch 3, accuracy 0.809 
epoch 4, accuracy 0.818 
epoch 5, accuracy 0.82575 
epoch 6, accuracy 0.8316666666666667 
epoch 7, accuracy 0.8360833333333333 
epoch 8, accuracy 0.8406666666666667 
epoch 9, accuracy 0.8474166666666667 
epoch 10, accuracy 0.8553333333333333 
epoch 11, accuracy 0.8608333333333333 
epoch 12, accuracy 0.867 
epoch 13, accuracy 0.87275 
epoch 14, accuracy 0.8760833333333333 
epoch 15, accuracy 0.881 
epoch 16, accuracy 0.884 
epoch 17, accuracy 0.88675 
epoch 18, accuracy 0.8900833333333333 
epoch 19, accuracy 0.8931666666666667 
epoch 20, accuracy 0.8963333333333333 
epoch 21, accuracy 0.8989166666666667 
epoch 22, accuracy 0.9010833333333333 
epoch 23, accuracy 0.9030833333333333 
epoch 24, accuracy 0.90525 
epoch 25, accuracy 0.90725 
epoch 26, accuracy 0.9094166666666667 
epoch 27, accuracy 0.9116666666666666 
epoch 28, accuracy 0.91375 
epoch 29, accuracy 0.91575 
epoch 30, accuracy 0.9168333333333333 
epoch 31, accuracy 0.91825 
epoch 32, accuracy 0.9199166666666667 
epoch 33, accuracy 0.9214166666666667 
epoch 34, accuracy 0.9226666666666666 
epoch 35, accuracy 0.9238333333333333 
epoch 36, accuracy 0.925 
epoch 37, accuracy 0.9254166666666667 
epoch 38, accuracy 0.9261666666666667 
epoch 39, accuracy 0.9273333333333333 
epoch 40, accuracy 0.9278333333333333 
epoch 41, accuracy 0.9290833333333334 
epoch 42, accuracy 0.92975 
epoch 43, accuracy 0.9305 
epoch 44, accuracy 0.9310833333333334 
epoch 45, accuracy 0.9315 
epoch 46, accuracy 0.9319166666666666 
epoch 47, accuracy 0.932 
epoch 48, accuracy 0.93225 
epoch 49, accuracy 0.9324166666666667 
epoch 50, accuracy 0.9329166666666666 
epoch 51, accuracy 0.9333333333333333 
epoch 52, accuracy 0.9336666666666666 
epoch 53, accuracy 0.9345 
epoch 54, accuracy 0.9348333333333333 
epoch 55, accuracy 0.9353333333333333 
epoch 56, accuracy 0.9366666666666666 
epoch 57, accuracy 0.9374166666666667 
epoch 58, accuracy 0.9374166666666667 
epoch 59, accuracy 0.9381666666666667 
epoch 60, accuracy 0.9385 
epoch 61, accuracy 0.9394166666666667 
epoch 62, accuracy 0.93975 
epoch 63, accuracy 0.94025 
epoch 64, accuracy 0.9408333333333333 
epoch 65, accuracy 0.9413333333333334 
epoch 66, accuracy 0.94175 
epoch 67, accuracy 0.94225 
epoch 68, accuracy 0.943 
epoch 69, accuracy 0.9433333333333334 
epoch 70, accuracy 0.9438333333333333 
epoch 71, accuracy 0.94425 
epoch 72, accuracy 0.9445833333333333 
epoch 73, accuracy 0.9449166666666666 
epoch 74, accuracy 0.94525 
epoch 75, accuracy 0.9454166666666667 
epoch 76, accuracy 0.9455 
epoch 77, accuracy 0.9460833333333334 
epoch 78, accuracy 0.9468333333333333 
epoch 79, accuracy 0.9475 
epoch 80, accuracy 0.948 
epoch 81, accuracy 0.9480833333333333 
epoch 82, accuracy 0.9484166666666667 
epoch 83, accuracy 0.9488333333333333 
